sku,title,platform,quantity,reorder_point
SWT-CRW-NVY-M,Classic Crewneck Sweater,shopify,85,15
JEA-SLM-BLU-32,Slim Fit Denim Jeans,shopify,42,8
SNK-CVS-WHT-9,Unisex Canvas Sneakers,shopify,0,12
BTL-SS-750-BLK,Stainless Steel Water Bottle,amazon,240,30
CAN-SOY-LAV-8,Scented Soy Candle 8oz,etsy,18,6
CSE-EBD-CLR,Wireless Earbuds Case,shopify,110,
YGA-MAT-GRY,Yoga Mat 6mm,shopify,55,10
KIT-BMB-1216,Bamboo Cutting Board 12x16,amazon,33,8
WAL-LTH-BRN,Leather Wallet RFID,shopify,24,5
STD-PHN-ALU-SLV,Portable Phone Stand,amazon,400,50
LIP-ORG-3PK,Organic Lip Balm Trio,etsy,90,20
TEE-KID-DINO-6,Kids Graphic Tee K-5,shopify,3,15
